Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Cost,Category
Tangerines,I med.,114,40,1,0,0,1,10,0.25,Fruits R-Z
Watermelon,1 wedge,925,120,2,1,0,3.6,29,1.3,Fruits R-Z
Biscuits,1,38,130,3,4,3,0,18,0.76,"Breads, cereals, fastfood,grains"
Bran flakes,1 cup,25,117,3,0,0,0.1,32,1,"Breads, cereals, fastfood,grains"
"Bread, cracked wheat",1 slice,23,60,2,1,1,0.1,12,1,"Breads, cereals, fastfood,grains"
Rye,1 slice,23,55,2,1,1,0.1,12,1,"Breads, cereals, fastfood,grains"
"White, 20 slices, or",1-lb. loaf,454,1225,39,15,12,9,229,1,"Breads, cereals, fastfood,grains"
Whole-wheat,1-lb. loaf,454,1100,48,14,10,67.5,216,1,"Breads, cereals, fastfood,grains"
Whole-wheat,1 slice,23,55,2,1,0,0.31,11,2,"Breads, cereals, fastfood,grains"
Corn bread ground meal,1 serving,50,100,3,4,2,0.3,15,2.5,"Breads, cereals, fastfood,grains"
Cornflakes,1 cup,25,110,2,0,0,0.1,25,5,0.4,"Breads, cereals, fastfood,grains"
Corn grits cooked,1 cup,242,120,8,0,0,0.2,27,1,"Breads, cereals, fastfood,grains"
Corn meal,1 cup,118,360,9,4,2,1.6,74,0.6,"Breads, cereals, fastfood,grains"
Crackers,2 med.,14,55,1,1,0,0,10,0.5,"Breads, cereals, fastfood,grains"
"Soda, 2 1/2 square",2,11,45,1,1,0,0,8,0.12,"Breads, cereals, fastfood,grains"
Farina,1 cup,238,105,3,0,0,8,22,1.3,"Breads, cereals, fastfood,grains"
Flour,1 cup,110,460,39,22,0,2.9,33,2.4,"Breads, cereals, fastfood,grains"
Wheat (all purpose),1 cup,110,400,12,1,0,0.3,84,1.2,"Breads, cereals, fastfood,grains"
Wheat (whole),1 cup,120,390,13,2,0,2.8,79,2.2,"Breads, cereals, fastfood,grains"
Macaroni,1 cup,140,155,5,1,0,0.1,32,0.9,"Breads, cereals, fastfood,grains"
Baked with cheese,1 cup,220,475,18,25,24,0,44,1.4,"Breads, cereals, fastfood,grains"
Muffins,1,48,135,4,5,4,0,19,3.4,"Breads, cereals, fastfood,grains"
Noodles,1 cup,160,200,7,2,2,0.1,37,2.4,"Breads, cereals, fastfood,grains"
Oatmeal,1 cup,236,150,5,3,2,4.6,26,1,"Breads, cereals, fastfood,grains"
"Pancakes 4"" diam.",4,108,250,7,9,0,0.1,28,1,"Breads, cereals, fastfood,grains"
"Wheat, pancakes 4"" diam.",4,108,250,7,9,0,0.1,28,2.6,"Breads, cereals, fastfood,grains"
"Pizza 14"" diam.",1 section,75,180,8,6,5,0,23,1.5,"Breads, cereals, fastfood,grains"
Popcorn salted,2 cups,28,152,3,7,2,0.5,20,1.2,"Breads, cereals, fastfood,grains"
Puffed rice,1 cup,14,55,0,0,0,0,12,5.2,"Breads, cereals, fastfood,grains"
Puffed wheat presweetened,1 cup,28,105,1,0,0,0.6,26,1.3,"Breads, cereals, fastfood,grains"
Rice,1 cup,208,748,15,3,0,1.2,154,2.3,"Breads, cereals, fastfood,grains"
Converted,1 cup,187,677,14,0,0,0.4,142,0.2,"Breads, cereals, fastfood,grains"
White,1 cup,191,692,14,0,0,0.3,150,1,"Breads, cereals, fastfood,grains"
Rice flakes,1 cup,30,115,2,0,0,0.1,26,0.9,"Breads, cereals, fastfood,grains"
Rice polish,1/2 cup,50,132,6,6,0,1.2,28,1.35,"Breads, cereals, fastfood,grains"
Rolls,1 large,50,411,3,12,11,0.1,23,0.72,"Breads, cereals, fastfood,grains"
of refined flour,1,38,115,3,2,2,0,20,0.8,"Breads, cereals, fastfood,grains"
whole-wheat,1,40,102,4,1,0,0.1,20,1.1,"Breads, cereals, fastfood,grains"
Spaghetti with meat sauce,1 cup,250,285,13,10,6,0.5,35,1,"Breads, cereals, fastfood,grains"
with tomatoes and cheese,1 cup,250,210,6,5,3,0.5,36,0.4,"Breads, cereals, fastfood,grains"
Spanish rice,1 cup,250,217,4,4,0,1.2,40,1.1,"Breads, cereals, fastfood,grains"
Shredded wheat biscuit,1,28,100,3,1,0,0.7,23,0.09,"Breads, cereals, fastfood,grains"
Waffles,1,75,240,8,9,1,0.1,30,1,"Breads, cereals, fastfood,grains"
Wheat germ,1 cup,68,245,17,7,3,2.5,34,1,"Breads, cereals, fastfood,grains"
Wheat-germ cereal toasted,1 cup,65,260,20,7,3,2.5,36,1,"Breads, cereals, fastfood,grains"
